StartDate,EndDate,Duration,Latitude,Longitude,Age,Sex,Race,ruralurban,Religion,Socioeconomic,workhours,Remote,Relationship_status,Relationship_qual,FOMO_1,FOMO_2,FOMO_3,FOMO_4,FOMO_5,FOMO_6,FOMO_7,FOMO_8,FOMO_9,FOMO_10,FOMO_11,socialhours,posting,social_likes,socialeffort,irl,socialengage,socialinfo,familyclose,friendclose,community,Anxiety,valued_1,valued_2,valued_3,valued_4,FOMO
2024-03-28T19:17:37Z,2024-03-28T19:21:39Z,242,47.0111,-122.875,27,Female,White,Urban,10,176,40,In person,Partnered,5,2,1,1,1,2,3,3,4,4,1,1,3,1,100,32,85,1,Friends,4,2,70,40,100,100,80,61,2.2
2024-03-28T19:23:32Z,2024-03-28T19:27:15Z,222,47.4902,-122.3004,28,Female,Multiracial,Urban,50,94,33,In person,Dating,2,4,4,4,3,3,3,3,4,3,4,NA,5,35,6,18,88,5,Family,8,2,10,68,49,74,64,35,3.5
2024-03-28T19:24:28Z,2024-03-28T19:32:08Z,460,45.7126,-122.6239,18,Male,White,Suburb,59,160,40,In person,Dating,5,2,2,1,1,3,4,2,1,2,2,3,4,1,100,85,70,3,Hobbies,8,3,25,25,80,60,70,50,2
2024-03-28T19:38:34Z,2024-03-28T19:47:24Z,530,45.3716,-122.7656,25,Non binary,White,Urban,0,149,40,In person,Partnered,5,3,3,4,2,4,1,5,1,5,1,5,2,1,58,41,70,3,Hobbies,3,7,0,60,50,90,85,50,2.9
2024-03-28T19:50:35Z,2024-03-28T19:55:21Z,285,45.5173,-122.6398,32,Female,White,Urban,25,36,48,In person,Single,NA,4,4,3,1,3,1,3,3,2,1,3,4,6,40,40,70,5,Friends,10,4,16,80,100,100,100,75,2.5
2024-03-28T19:56:48Z,2024-03-28T20:05:15Z,507,45.5645,-122.6447,31,Non binary,White,Urban,85,115,40,Remote,Partnered,4,2,2,3,1,3,2,2,1,2,1,3,1,0,20,20,97,0,Global news,2,0,50,10,20,60,84,0,1.9
2024-03-28T20:04:01Z,2024-03-28T20:09:27Z,325,45.5135,-122.5041,33,Female,White,Urban,35,20,40,In person,Partnered,5,4,3,4,1,2,1,3,1,3,2,5,2,5,15,15,85,1,Hobbies,5,5,10,95,100,100,90,80,2.4
2024-03-28T20:09:56Z,2024-03-28T20:14:48Z,291,47.1435,-122.1678,36,Female,White,Suburb,1,70,33,In person,Partnered,5,3,3,2,4,2,4,1,4,1,5,1,1,1,25,20,100,1,Family,7,5,100,50,50,71,25,NA,2.9
2024-03-28T20:23:14Z,2024-03-28T20:28:53Z,339,45.5282,-122.6355,32,Female,White,Urban,20,40,55,In person,Dating,5,1,1,3,2,4,1,3,3,3,4,3,2,4,100,75,50,3,Work,5,8,0,30,100,100,100,70,2.5
2024-03-28T20:26:58Z,2024-03-28T20:33:28Z,389,45.5496,-122.8293,24,Female,White,Urban,45,55,40,Remote,Dating,5,5,3,4,2,3,3,4,3,5,3,5,5,1,100,30,70,6,Local news,2,10,15,70,80,85,50,60,3.5
2024-03-28T20:38:52Z,2024-03-28T20:43:48Z,295,47.2249,-122.4445,29,Female,Multiracial,Suburb,55,88,45,In person,Partnered,5,2,2,1,1,1,1,3,2,5,1,2,3,10,60,25,75,2,Hobbies,10,5,75,19,100,100,50,75,1.9
2024-03-28T21:05:05Z,2024-03-28T21:09:21Z,255,39.9241,-105.0639,53,Female,Multiracial,Suburb,10,200,50,Remote,Partnered,5,1,1,2,3,2,1,3,3,2,1,2,2,10,49,55,70,3,Friends,3,6,67,10,20,70,50,48,1.9
2024-03-28T21:03:00Z,2024-03-28T21:09:32Z,391,47.9856,-122.2002,28,Female,White,Suburb,30,96,45,Remote,Dating,2,2,1,1,2,1,1,4,1,4,1,2,1,0,18,0,70,1,Hobbies,4,3,10,20,90,95,90,10,1.8
2024-03-28T21:09:48Z,2024-03-28T21:14:06Z,257,47.6137,-122.3104,26,Female,White,Rural,21,38,24,In person,Dating,4,5,2,1,2,2,3,2,1,2,1,3,5,0,5,2,60,5,Global news,0,0,0,100,3,4,51,26,2.1
2024-03-28T21:31:51Z,2024-03-28T21:39:04Z,432,39.0169,-94.2611,29,Female,White,Suburb,10,150,22,Remote,Partnered,5,2,1,2,1,1,1,2,1,3,1,3,1,1,100,30,35,1,Hobbies,3,10,5,25,80,85,100,55,1.5
2024-03-28T18:57:55Z,2024-03-28T21:54:57Z,10622,38.6106,-121.2789,27,Female,White,Suburb,10,30,48,In person,Partnered,5,1,1,1,1,1,1,2,1,1,1,1,1,NA,20,10,99,NA,Friends,5,5,5,5,100,80,90,80,1.1
2024-03-28T23:37:26Z,2024-03-28T23:43:12Z,345,44.0991,-123.1371,33,Female,Hispanic,Urban,71,38,24,In person,Single,NA,3,2,3,1,3,4,2,3,2,4,3,5,1,10,40,92,5,Global news,2,6,62,10,40,80,82,10,2.7
2024-03-29T00:18:50Z,2024-03-29T00:23:06Z,256,45.5645,-122.6447,29,Female,Hispanic,Urban,NA,80,40,In person,Dating,2,4,3,3,2,3,2,2,2,1,1,2,2,4,40,10,88,5,Friends,3,3,NA,71,30,94,74,35,2.3
2024-03-29T00:25:11Z,2024-03-29T00:30:02Z,290,45.5496,-122.5044,22,Female,White,Urban,0,25,35,In person,Dating,4,4,3,3,1,1,2,4,3,5,1,4,2,1,15,4,60,5,Friends,13,4,37,49,69,87,48,47,2.7
2024-03-29T06:46:05Z,2024-03-29T06:54:41Z,515,41.3847,-81.7982,34,Female,White,Urban,50,10,23,In person,Dating,3,1,1,2,2,4,2,5,2,5,1,5,3,4,10,NA,50,3,Friends,2,2,1,20,80,70,50,70,2.5
2024-03-29T07:06:38Z,2024-03-29T07:12:51Z,373,45.461,-122.7052,35,Female,Hispanic,Suburb,65,63,40,Remote,Dating,5,1,1,1,1,2,1,2,4,4,4,2,5,2,10,52,90,2,Friends,3,8,70,20,90,90,90,85,2.1
2024-03-29T07:09:23Z,2024-03-29T07:22:20Z,776,42.5003,-83.2907,24,Non binary,White,Urban,20,40,36,In person,Single,NA,3,2,4,2,4,1,2,2,3,4,3,4,20,3,0,10,4,Hobbies,5,3,0,34,72,87,55,25,2.7
2024-03-29T07:35:16Z,2024-03-29T07:51:56Z,1000,45.6911,-122.585,30,Female,White,Suburb,30,180,55,Remote,Partnered,5,2,1,1,1,1,2,3,1,4,1,2,2,1,66,24,90,5,Family,2,2,0,25,71,100,80,100,1.7
2024-03-29T09:37:00Z,2024-03-29T09:45:40Z,520,45.4804,-122.5891,29,Female,White,Urban,30,4,4,Remote,Dating,5,3,3,2,1,2,2,2,3,4,2,2,3,5,31,29,60,3,Friends,8,12,15,21,100,83,6,25,2.4
2024-03-29T09:45:44Z,2024-03-29T10:00:03Z,859,38.5879,-121.4053,25,Female,White,Rural,58,65,32,In person,Single,NA,2,2,1,1,2,3,2,1,2,1,2,3,2,80,70,40,1,Global news,8,10,75,15,80,80,80,45,1.7
2024-03-29T10:11:55Z,2024-03-29T10:15:27Z,211,41.7965,-71.4304,22,Female,White,Urban,50,26,42,In person,Single,NA,5,5,5,1,4,3,3,3,4,2,5,2,0,50,21,10,0,National news,5,1,0,60,90,15,50,1,3.5
2024-03-29T10:22:05Z,2024-03-29T10:28:20Z,374,35.9854,-115.1193,33,Female,White,Urban,45,61,50,Remote,Partnered,5,3,3,2,1,2,1,2,2,2,2,2,2,4,5,29,70,3,Friends,1,5,0,10,20,85,85,30,2
2024-03-29T13:54:00Z,2024-03-29T14:36:12Z,2532,45.6652,-122.5215,22,Non binary,White,Rural,90,110,11,In person,Single,NA,3,2,2,1,3,1,4,1,5,3,2,4,1,1,60,30,3,Hobbies,8,12,50,60,80,80,60,20,2.5
2024-03-29T14:51:51Z,2024-03-29T14:55:09Z,197,27.1415,-80.2018,25,Male,White,Suburb,100,25,NA,Do not work,Partnered,5,4,5,1,3,3,4,2,3,2,2,5,5,5,10,2,20,10,Hobbies,3,5,100,100,40,51,19,5,2.9
2024-03-29T15:21:02Z,2024-03-29T15:25:40Z,277,36.1671,-86.7861,28,Male,White,Urban,28,49,41,In person,Dating,4,4,3,4,1,2,3,2,4,3,1,4,5,4,10,31,80,10,Hobbies,5,9,53,65,30,40,51,80,2.7
2024-03-29T15:15:48Z,2024-03-29T15:33:46Z,1077,42.3562,-71.0631,34,Male,White,Urban,85,20,15,In person,Single,NA,1,1,1,1,1,1,1,1,3,1,1,3,14,30,0,59,2,Sports,3,10,70,15,15,65,60,55,1.2
2024-03-29T15:41:55Z,2024-03-29T15:48:46Z,411,45.5894,-122.7401,29,Non binary,White,Urban,14,6,15,Remote,Single,NA,3,4,2,1,2,1,2,1,4,1,2,5,NA,10,29,5,5,Hobbies,NA,6,NA,65,NA,70,78,70,2.1
2024-03-29T17:01:08Z,2024-03-29T17:07:30Z,381,45.496,-122.7998,29,Non binary,White,Urban,NA,93,40,In person,Single,NA,1,1,2,1,2,2,2,1,3,3,2,3,NA,NA,NA,5,2,Hobbies,5,12,10,30,70,100,60,25,1.8
2024-03-29T19:56:44Z,2024-03-29T20:02:12Z,327,45.6197,-122.5827,67,Female,Not stated,Urban,50,40,0,Do not work,Partnered,4,1,1,1,1,1,2,1,1,1,1,1,2,14,26,19,11,NA,Family,6,2,10,81,21,21,0,9,1.1
2024-03-30T02:11:00Z,2024-03-30T02:14:56Z,236,45.3102,-122.967,33,Non binary,White,Urban,25,59,40,Remote,Partnered,5,2,2,1,1,2,1,3,2,2,1,2,3,4,20,25,9,2,Hobbies,8,10,30,60,50,90,70,21,1.7
2024-03-30T11:06:31Z,2024-03-30T11:31:21Z,1489,47.6034,-122.3414,21,Female,White,Rural,60,149,9,In person,Single,NA,3,2,2,1,2,1,2,1,4,2,3,2,0,NA,NA,10,0,Hobbies,5,3,30,60,70,85,70,NA,2
